date,open,high,low,close,adjusted close,volume,SMA,EMA,NextDayPred,Slopes,NextDayDecrease
2018-03-15,81.91315460205078,82.17117309570312,80.47199249267578,81.34046936035156,76.05258178710938,4779000,77.8290028163365,82.35115739793353,80.37405,0.01829597357487168,1
2018-03-16,81.32158660888672,81.7117691040039,80.41535186767578,80.76148223876953,75.51123046875,11507200,77.88757514953613,82.27361226821822,80.15263,0.006742945599925579,1
2018-03-19,80.5538101196289,81.14537811279297,79.37696838378906,80.05034637451172,74.8463363647461,6069600,77.94210183279854,82.16516027340326,79.891396,-0.00932646510173043,1
2018-03-20,80.0818099975586,80.97545623779297,79.81120300292969,80.0251693725586,74.82278442382812,4472700,77.99527991158622,82.06077047336206,79.58513,-0.032421927965309585,1
2018-03-21,80.00629425048828,80.86846923828125,79.52171325683594,79.92448425292969,74.72864532470703,5542200,78.03258999415806,81.95656138943852,79.23932,-0.058491267876341235,1
2018-03-22,79.33291625976562,79.88671875,77.98615264892578,78.08055114746094,73.00458526611328,7916200,78.05268347603935,81.76748771909816,78.868004,-0.07555938572075682,0
2018-03-23,78.15607452392578,78.74764251708984,76.86595153808594,76.97293853759766,71.9689712524414,6138100,78.06432604108538,81.53360727122009,78.462906,-0.09484655063865953,0
2018-03-26,77.99874114990234,79.84266662597656,77.68407440185547,79.69792175292969,74.51681518554688,18321000,78.10352407182965,81.44406163618153,78.0076,-0.11975658104718293,1
2018-03-27,79.83637237548828,80.66708374023438,78.2630615234375,78.842041015625,73.7165756225586,14319100,78.16677142551967,81.31713380103244,77.54302,-0.1350824055249121,1
2018-03-28,79.24480438232422,79.31403350830078,78.02391815185547,78.31969451904297,73.22818756103516,4961000,78.2334800175258,81.1709172506915,77.104355,-0.14370721110921988,1
2018-03-29,78.60289764404297,79.70421600341797,78.28193664550781,79.18187713623047,74.03430938720703,4509400,78.30468384878976,81.07389090364462,76.712654,-0.14820552652714383,1
2018-04-02,79.07489013671875,79.30144500732422,76.28067779541016,77.7092514038086,72.65741729736328,10481800,78.36730183192662,80.90976214755506,76.39423,-0.1461545841784799,1
2018-04-03,77.77848052978516,78.69100189208984,77.19949340820312,78.60919189453125,73.49885559082031,6045300,78.43594338553292,80.79753920838317,76.143875,-0.14298305556174465,1
